Subject,Condition,Optode,MeanAcrossBlocksHbO,MedianAcrossBlocksHbO,AUCHbO,MaximumHbO,RobustPeakHbO95
4,2,15,-0.0841376779782423,-0.017123341799035,-4.96322205709569,0.0539926541704758,0.0358542634709598
4,2,16,-0.0800437690116447,0.00610370059148253,-4.72271812792217,0.116646254180212,0.0884383197275357
4,3,1,-0.000739254386391779,0.00321957163872143,-0.0459415016921841,0.106012220583627,0.0874559459011924
4,3,2,0.0106016513882021,0.00805944892115521,0.629526741492738,0.151850082717277,0.141831717847808
4,3,3,-0.0212369005175026,-0.0153909693803044,-1.25366418269929,0.114729177029818,0.082913647452661
4,3,4,-0.00285810373050844,-0.0208948075172159,-0.168572149476706,0.120301359527812,0.100385380659662
4,3,5,-0.00769565419594088,-0.00748414713288173,-0.453045708611492,0.129655397268285,0.0987065650500153
4,3,6,0.0339546985970054,0.00406541469730245,2.00436470213638,0.182866508685719,0.164360135977157
4,3,7,-0.0186534201683115,0.00316074965249793,-1.10380943628773,0.136069541594722,0.115400906993052
4,3,8,-0.019689080167288,-0.0249390469527616,-1.15989950125496,0.130325443401355,0.0956005986956914
4,3,9,-0.00231962992363206,-0.0210887994341579,-0.138544212908575,0.10734435777183,0.092077234641272
4,3,10,0.0156969172946385,-0.00911409454133839,0.924399566038683,0.165068059935867,0.134313289379379
4,3,11,0.0571799059620007,0.0832535118639683,3.36611129184009,0.192712064971995,0.17375770181425
4,3,12,0.108247171437147,0.115495066910397,6.37942700223598,0.287244121361122,0.26000390689505
4,3,13,-0.0353523948080021,0.0218619113973443,-2.0905618383642,0.20978601430953,0.161279806489145
4,3,14,0.0453360091851324,0.0781911205781141,2.67180329427684,0.174753403912166,0.158027037756736
4,3,15,0.0191839641393171,0.0581746026775167,1.13092016998978,0.144102245176856,0.132538829495473
4,3,16,0.0103026245174584,0.0374305539045552,0.603594898418551,0.18541659486745,0.15817866106916
5,1,1,-0.0126381515940364,-0.0243320869431826,-0.746731923307447,0.0732230178213281,0.0644405648028631
5,1,2,-0.027550443356791,-0.0613619538659779,-1.625497284989,0.0812921123153637,0.0713084015582869
5,1,3,-0.0133166275254853,-0.0290180909213052,-0.787104991746855,0.0707175871750301,0.0630215061858608
5,1,4,-0.0273814039500638,-0.0708793126771159,-1.61565166081176,0.077421161129533,0.0674831502568815
5,1,5,0.0160633601383535,0.00910961642686177,0.943738225308702,0.0802230472419762,0.0671286211519248
5,1,6,-0.00174464177718871,-0.0217116849781922,-0.10574359667176,0.0813495079716323,0.0681212696070064
5,1,7,-0.0130336044680399,-0.0222824569196111,-0.771213405709692,0.0756978604257239,0.0629083432823585
5,1,8,0.0273889911578105,0.0282387197097708,1.60957672766555,0.12002893055855,0.102461958677623
5,1,9,0.00412648691251232,0.0101235543001018,0.243237870126968,0.093111892520378,0.0804607010625326
5,1,10,-0.00548564516235276,-0.012035326738662,-0.324004087571779,0.0891977251581354,0.0747229069023291
5,1,11,0.0182796174619985,0.0314055554681117,1.07985406803077,0.0640960685047275,0.0595458010810784
5,1,12,-0.00711843410878785,-0.0176957567771351,-0.418877392015486,0.0652328974323958,0.0566595251343558
5,1,13,-0.0179552860338241,-0.0162067138406167,-1.05801261656888,0.0196648934426945,0.0129516390584476
5,1,14,-0.0293375829707063,-0.0267944288944293,-1.73021201351372,0.0230235028133665,0.011244053454105
5,1,15,-0.0244282449464395,-0.0271502544796898,-1.44041193729984,0.0451920080580233,0.0371982395946189
5,1,16,-0.0375872593224382,-0.0343991586280692,-2.21657745972963,0.0581530417081312,0.050183175861001
5,2,1,0.0112707196032705,0.0202095251567051,0.663151796410167,0.11213030956795,0.101200667838801
5,2,2,0.0367885639832565,0.0588108270122645,2.16747819470192,0.169607752651204,0.159246984514663
5,2,3,0.0173621755984939,0.0458181582947612,1.02055515235828,0.124594823060822,0.107979940382278
5,2,4,0.0290425099087537,0.0859863489395605,1.71002324577246,0.174482098841217,0.161711343735208
5,2,5,-0.00339993443742057,0.017876130637889,-0.202305615509844,0.0858364605085977,0.0776040768374826
5,2,6,-0.0157219720447162,0.0155684521749721,-0.929578327330274,0.0983475307547689,0.0775164242616734
5,2,7,-0.0092287623605434,-0.00583491142788681,-0.546562923461919,0.0852579279861203,0.0757322294090244
5,2,8,-0.013276521695203,0.0068622491546047,-0.785628732691377,0.151631598030393,0.125733407706398
5,2,9,0.00137253795534249,-0.0160649190438735,0.0801583091382305,0.0727318697718779,0.0655619496832809
5,2,10,0.030926742417838,0.0810951415873271,1.81812494650236,0.160858564257247,0.14880631286964
5,2,11,0.0244126073299454,0.0405511930251776,1.43897316745544,0.100010656077463,0.0907724697779753
5,2,12,0.000264034140960929,0.0308800299761711,0.0119766487849615,0.0970002736525841,0.0881686294947863
