Subject,Block,Condition,Optode,NonFiniteSampleCount,NonPositiveSampleCount,BaselineCV730,BaselineCV850,AmbientToSignalRatio,AmbientCorrelation730,AmbientCorrelation850,MotionCandidateFraction,MathematicallyValidChannel
4,7,2,3,0,0,0.00451277468270502,0.00721276072381689,0.148924871956962,0.089806752004354,-0.27375628577413,0,1
4,7,2,4,0,0,0.00506789820109284,0.00907772099723404,0.136950626745314,-0.514321582850085,-0.641163031325318,0,1
4,7,2,5,0,0,0.00275853058668169,0.00538708315550445,0.0775532322213568,0.442798189256675,-0.0790915855096726,0,1
4,7,2,6,0,0,0.00277535945559014,0.0072682761129944,0.123568922614032,0.468333202030174,-0.146264277625237,0,1
4,7,2,7,0,0,0.00332698738337345,0.00754398314969705,0.145064833728098,0.116565082808933,-0.0668290769182459,0,1
4,7,2,8,0,0,0.00344180392869393,0.00651936713748023,0.133295383008587,0.762026463727642,0.820103451375467,0,1
4,7,2,9,0,0,0.00158467801338843,0.00553563737725832,0.12025253217273,0.369860247145288,0.357335334316702,0,1
4,7,2,10,0,0,0.00164546470553874,0.00417647330895902,0.105589505306873,0.803925232370872,0.77851608140694,0,1
4,7,2,11,0,0,0.00279986944317712,0.00648215861255887,0.0791991663115387,-0.109150425713291,-0.223805494796897,0,1
4,7,2,12,0,0,0.00150526871917437,0.00466927309799813,0.164239374618355,0.151624684722298,-0.64463041653097,0,1
4,7,2,13,0,0,0.00574955914613607,0.0078674842489338,0.120135781981529,0.447769887972472,-0.0683209093953248,0,1
4,7,2,14,0,0,0.00273987502462167,0.00555564331006834,0.0966495204220324,-0.549636858924176,-0.66424369642923,0,1
4,7,2,15,0,0,0.00205443779714477,0.00341178068438106,0.198771333344389,0.80975895995621,0.270920398430653,0,1
4,7,2,16,0,0,0.00485303404950025,0.00658048778738144,0.201158282406126,0.754252822722736,0.0519756549377538,0,1
4,8,2,1,0,0,0.00195781923084634,0.00612289335637236,0.321648164072702,0.40024693159023,0.172861786297618,0,1
4,8,2,2,0,0,0.00777496064460736,0.0118574830938254,0.133323367473358,0.743997744865861,0.423939766475101,0,1
4,8,2,3,0,0,0.00224537535914805,0.0066083341234653,0.144100100613946,0.176987941538222,0.00152895659173507,0,1
4,8,2,4,0,0,0.00332795612816976,0.00762283171302752,0.133548802953604,0.0549916492488455,0.0328600854777418,0,1
4,8,2,5,0,0,0.00254170824008388,0.00703365742518876,0.0750798229578103,0.243395501881927,0.381993164345046,0,1
4,8,2,6,0,0,0.00458353182338429,0.0107428515324209,0.115367638500953,0.40183823579194,0.454057507136197,0,1
4,8,2,7,0,0,0.00337357275780156,0.0058636974172701,0.146164707313996,-0.0522588566246966,0.0787351644285979,0,1
4,8,2,8,0,0,0.00361198197223778,0.00765567828815277,0.124982334614952,-0.101910201306895,0.134557760369377,0,1
4,8,2,9,0,0,0.00307282993425912,0.00357443557339471,0.117629943235154,0.367549788539588,-0.251215608072371,0,1
4,8,2,10,0,0,0.00197478635238121,0.0053083492407025,0.102387495628044,-0.0659248558585751,0.418313100338481,0,1
4,8,2,11,0,0,0.00235702186766022,0.00653155894782864,0.0769062525462762,0.571371241263401,0.0711893035585813,0,1
4,8,2,12,0,0,0.00412857020962119,0.0089985450458147,0.159478348794074,-0.2356645681976,0.306957535230894,0,1
4,8,2,13,0,0,0.00380634863408084,0.0108732621825509,0.12372989460281,0.0469455879284935,-0.0443489702194476,0,1
4,8,2,14,0,0,0.00583561053681346,0.0116078798222908,0.0973417309428406,-0.521294440492643,-0.482173333444233,0.0234375,1
4,8,2,15,0,0,0.00458006582598648,0.01066709494438,0.203477209350104,0.128066412111937,0.0734629481399507,0,1
4,8,2,16,0,0,0.00718752264052241,0.0126075842783675,0.202130822240984,0.805287195645787,0.764999737445188,0,1
4,9,2,1,0,0,0.000190178389347963,0.00112906233652625,0.318657466384358,0.22279628015988,0.134457550795365,0,1
4,9,2,2,0,0,0.00132044729829272,0.00163296716701496,0.134431440248851,0.818683969305041,0.699482560963515,0,1
4,9,2,3,0,0,0.00120395855220852,0.000755508269587534,0.143568093751882,0.349510060038279,0.113246179227262,0,1
4,9,2,4,0,0,0.0022539525669644,0.00244807913504861,0.130533564041531,0.365537529262724,0.811094121951629,0,1
